Date,Close,High,Low,Open,Volume,Company,Daily_Return,Return_Lag_1,Return_Lag_2,Return_Lag_3,SMA_5,SMA_20,SMA_50,EMA_20,Volatility_20,Volume_Change,High_Low_Range,Open_Close_Change,RSI_14,MACD,MACD_Signal,MACD_Hist,Target
2015-03-16,179.3698272705078,181.8939118970542,178.98641859107912,181.3720552179372,13839990,RELIANCE.NS,-0.0094107479343521,-0.015860045600886,0.0091708421485803,-0.0037245303376333,181.95144042968752,185.41166763305665,187.4892990112305,185.16254848853333,0.0163986648909662,0.0698687407705394,0.0162094893562577,-0.0110393409007992,46.7990023323057,-2.022485715228015,-1.517906010772754,-0.5045797044552611,1
2015-03-17,182.51161193847656,183.16126675245445,179.13551128120127,181.16968870847447,19070082,RELIANCE.NS,0.0175156809580387,-0.0094107479343521,-0.015860045600886,0.0091708421485803,181.85345153808595,184.7657341003418,187.35702362060547,184.91007834090888,0.0168428781344435,0.3778970938562818,0.0220575306332302,0.0074069963886804,55.1060728852642,-1.976873518797646,-1.6096995123777325,-0.3671740064199136,1
2015-03-18,185.0250396728516,185.7918569807374,182.0536474876104,182.5435545957729,9269885,RELIANCE.NS,0.0137713305344226,0.0175156809580387,-0.0094107479343521,-0.015860045600886,182.39446716308595,184.40203018188475,187.28502838134764,184.92102703918917,0.0169735939963485,-0.5139042925982175,0.0202038032243455,0.0135939342398242,57.924170945285375,-1.7181076365867227,-1.6313811372195306,-0.0867264993671921,0
2015-03-19,182.3625030517578,186.7397031700671,181.92584518069435,186.49475673096543,13934612,RELIANCE.NS,-0.0143901421440119,0.0137713305344226,0.0175156809580387,-0.0094107479343521,182.06856994628907,183.91744689941407,187.20110443115237,184.6773580880052,0.0172044234905504,0.5032130387809557,0.0263971919052157,-0.0221574791251035,54.10735406896757,-1.70818734381254,-1.6467423785381323,-0.0614449652744073,0
2015-03-20,181.92588806152344,183.42755924187512,180.7543621595169,182.7352907046087,10405717,RELIANCE.NS,-0.0023942147257677,-0.0143901421440119,0.0137713305344226,0.0175156809580387,182.23897399902344,183.40677337646488,187.27778594970704,184.4153133235784,0.0171910370032968,-0.2532467355388151,0.0146938795288673,-0.0044293723449055,49.54903364990188,-1.7157781980530444,-1.6605495424411152,-0.0552286556119292,0
2015-03-23,179.337890625,184.0346010747076,178.51782397653736,182.43708138411853,13251683,RELIANCE.NS,-0.0142255589025803,-0.0023942147257677,-0.0143901421440119,0.0137713305344226,182.2325866699219,183.07502212524412,187.2251739501953,183.9317492570471,0.0159999673961273,0.2735002306904945,0.0307619158391127,-0.0169877238530977,43.20951782629191,-1.908622358584637,-1.7101641056698198,-0.1984582529148171,1
2015-03-24,180.61590576171875,181.96847901169176,179.36984520244596,179.36984520244596,9238431,RELIANCE.NS,0.00712629736117,-0.0142255589025803,-0.0023942147257677,-0.0143901421440119,181.85344543457032,183.03774642944336,187.25030853271485,183.6159546384444,0.0151433677762586,-0.3028484759256616,0.0143876243805132,0.0069468787123411,30.22812302348767,-1.9360104807604728,-1.7553333806879503,-0.1806771000725222,0
2015-03-25,179.9662322998047,180.9460465781414,179.13551586681172,180.8395481171816,10264941,RELIANCE.NS,-0.0035969891974583,0.00712629736117,-0.0142255589025803,-0.0023942147257677,180.84168395996093,183.07448806762696,187.1847036743164,183.26836203476444,0.014921535086277,0.1111130234127417,0.0100603912644763,-0.0048292302567081,32.64635326698563,-1.9872314169681715,-1.8017129879439948,-0.1855184290241767,0
2015-03-26,176.6433868408203,180.8928035475393,175.53577437136974,179.15682169938287,20621346,RELIANCE.NS,-0.0184637163123405,-0.0035969891974583,0.00712629736117,-0.0142255589025803,179.69786071777344,182.92698287963867,187.09524230957032,182.6374120162936,0.0154900819553595,1.0089103288562495,0.0303268028992048,-0.0140292445172977,29.607816681165588,-2.2697855612439923,-1.8953275026039944,-0.3744580586399979,0
2015-03-27,172.89454650878906,177.85751729508084,170.7112568254394,177.6232064472012,23326922,RELIANCE.NS,-0.0212226474994473,-0.0184637163123405,-0.0035969891974583,0.00712629736117,177.89159240722657,182.6042823791504,186.9612634277344,181.7095200631979,0.016156043669323,0.1312026867693312,0.041333058872844,-0.0266218588944217,29.11704146728813,-2.764346178701942,-2.069131237823584,-0.6952149408783579,0
