Date,Close,High,Low,Open,Volume,Company,Daily_Return,Return_Lag_1,Return_Lag_2,Return_Lag_3,SMA_5,SMA_20,SMA_50,EMA_20,Volatility_20,Volume_Change,High_Low_Range,Open_Close_Change,RSI_14,MACD,MACD_Signal,MACD_Hist,Target
2015-03-16,978.6697998046876,996.888783051955,974.7356989841338,987.416411214446,1556296,TCS.NS,-0.0077639275912961,-0.0140132228466198,0.0047954065130841,-0.0136789001587891,994.0586303710936,1013.2324432373048,979.7688940429688,1002.783460258838,0.0162270264335837,-0.0192470813025652,0.0226359126155136,-0.0088580778184563,33.79968552731984,4.4320971804583,11.361410508910735,-6.929313328452436,1
2015-03-17,986.8435668945312,995.6284112911412,976.9319893665072,986.3852458367724,1267318,TCS.NS,0.0083519151111792,-0.0077639275912961,-0.0140132228466198,0.0047954065130841,989.551611328125,1014.090884399414,980.0991552734376,1001.2653751765232,0.0148243567235925,-0.185683186231925,0.0189456794894749,0.0004646471139885,35.856881952143354,2.722374869798159,9.63360338108822,-6.911228511290062,0
2015-03-18,977.5431518554688,992.8592812238204,974.6211802528576,989.6127082761096,1255170,TCS.NS,-0.0094244066142414,0.0083519151111792,-0.0077639275912961,-0.0140132228466198,985.945947265625,1013.604849243164,979.9849597167968,999.0061158126132,0.0144210619045582,-0.0095855973007563,0.018657080187555,-0.0121962423478431,36.55740001614176,0.6099111774776702,7.828864940366111,-7.218953762888441,1
2015-03-19,991.6375732421876,995.3043301195036,980.8857192808352,983.9030866333654,2448964,TCS.NS,0.0144182089148354,-0.0094244066142414,0.0083519151111792,-0.0077639275912961,984.2043334960938,1012.8524291992188,980.4515026855468,998.304349853525,0.0140800232972412,0.9511014444258548,0.0145402022147328,0.0078610248447206,43.17318966251496,0.072237783546484,6.277539509002186,-6.205301725455702,1
2015-03-20,997.251708984375,999.944473447024,984.991177616381,991.5415787121752,1963908,TCS.NS,0.005661479449424,0.0144182089148354,-0.0094244066142414,0.0083519151111792,986.38916015625,1011.5137084960936,981.7442895507812,998.2040983421772,0.0135337949172677,-0.198065794352224,0.0149945050942773,0.0057588409752984,44.2850513086386,0.0980117616546749,5.0416339595326845,-4.9436221978780095,1
2015-03-23,999.6195678710938,1004.9096082397078,995.3608662381904,999.1803630387972,1566608,TCS.NS,0.0023743843859944,0.005661479449424,0.0144182089148354,-0.0094244066142414,990.5791137695312,1010.3983978271484,983.3047680664064,998.338904963979,0.0135559553716006,-0.2023007187709403,0.0095523760322675,0.0004395651161126,44.17952553842779,0.3059771341938813,4.094502594464924,-3.7885254602710425,0
2015-03-24,989.74658203125,1007.2016700639203,986.2326623555508,1004.528021337926,2394878,TCS.NS,-0.0098767432703127,0.0023743843859944,0.005661479449424,0.0144182089148354,991.159716796875,1008.386508178711,984.4688061523436,997.5205884941952,0.0135238539170748,0.5287027769550519,0.0211862390727684,-0.0147148103315114,24.91163439256292,-0.322162565532949,3.2111695624653493,-3.5333321279982983,0
2015-03-25,983.0435180664062,998.4170009618596,972.1388301825916,989.784896247476,2224858,TCS.NS,-0.0067725052923013,-0.0098767432703127,0.0023743843859944,0.005661479449424,992.2597900390624,1005.8847473144532,984.9765600585938,996.141819882025,0.0135137738194063,-0.0709931779405882,0.0267314419924722,-0.0068109527702716,25.783737758836395,-1.3453407939614408,2.299867491179992,-3.645208285141433,0
2015-03-26,959.8780517578124,987.9895002703984,955.2564220124664,975.2324146212756,3091642,TCS.NS,-0.0235650465954539,-0.0067725052923013,-0.0098767432703127,0.0023743843859944,985.9078857421875,1002.8463409423828,985.0408215332031,992.6881276797192,0.0141764467006467,0.3895907064630641,0.034101288385528,-0.0157443114413151,25.00324610532712,-3.9796020654218864,1.043973579859616,-5.023575645281502,1
2015-03-27,960.5272216796876,982.3364958131274,956.4403781248616,966.7147887976852,2751776,TCS.NS,0.0006763045791977,-0.0235650465954539,-0.0067725052923013,-0.0098767432703127,978.56298828125,1000.141180419922,985.2080200195312,989.6251842511446,0.0141812453020307,-0.109930580578217,0.0269603162760768,-0.0064006128691722,29.29716870477424,-5.946344753676726,-0.3540900868476524,-5.592254666829074,1
2015-03-30,979.3766479492188,981.5728595359752,962.5135997611296,964.4233489670048,1339006,TCS.NS,0.0196240417180149,0.0006763045791977,-0.0235650465954539,-0.0067725052923013,974.514404296875,998.2658172607422,985.568858642578,988.6491331747708,0.0150052786833113,-0.513402980475155,0.0194606026340887,0.0155049118193067,39.2116272730505,-5.915817473643983,-1.466435564206919,-4.449381909437065,0
2015-03-31,975.4805908203124,981.4008122211968,962.8953646212271,981.4008122211968,2427028,TCS.NS,-0.0039780988622351,0.0196240417180149,0.0006763045791977,-0.0235650465954539,971.6612060546876,996.0610229492188,985.7210339355468,987.39498628387,0.014975693119711,0.812559465752954,0.0189705953907374,-0.0060324195039998,42.2210847362458,-6.135279945740194,-2.400204440513574,-3.73507550522662,0
2015-04-01,971.1644897460938,979.1664115686737,963.3727521843176,977.0274556794468,2075758,TCS.NS,-0.0044245893919725,-0.0039780988622351,0.0196240417180149,0.0006763045791977,969.285400390625,991.6046356201172,985.839873046875,985.8492247088436,0.0112415961930369,-0.144732570040395,0.0162625997460895,-0.0060008200376271,38.66123536242003,-6.581610117026912,-3.236485575816242,-3.3451245412106703,1
2015-04-06,972.9406127929688,978.8989729186064,954.912603317568,977.0274564511424,1568542,TCS.NS,0.0018288591331623,-0.0044245893919725,-0.0039780988622351,0.0196240417180149,971.8979125976564,987.8099792480468,986.155477294922,984.619833097808,0.0112128980849686,-0.24435218363605,0.0246534775973448,-0.0041829363455334,44.25140221208786,-6.714609864386489,-3.932110433530291,-2.782499430856197,1
2015-04-07,987.3401489257812,992.687445670447,971.6802084592604,978.7271630193036,1886922,TCS.NS,0.0148000154824214,0.0018288591331623,-0.0044245893919725,-0.0039780988622351,977.260498046875,985.6815582275392,986.8395056152344,984.87891079571,0.011403302044643,0.2029783072432871,0.0212765957446806,0.0088001909336072,53.51942391003272,-5.593611230049191,-4.264410592834071,-1.32920063721512,1
2015-04-08,1008.8818969726562,1014.6493747235234,989.5744143005056,990.777518551786,1652134,TCS.NS,0.0218179601734136,0.0148000154824214,0.0018288591331623,-0.0044245893919725,983.1615478515624,985.5784240722656,987.8525903320312,987.1649094792288,0.0119017478352582,-0.1244290966982206,0.0248542079090327,0.0182728999012142,58.06989877425934,-2.933161045788552,-3.998160683424968,1.064999637636416,1
2015-04-09,1017.7243041992188,1026.4709168549923,1006.4949247258156,1015.6044642718888,2544450,TCS.NS,0.0087645612961198,0.0218179601734136,0.0148000154824214,0.0018288591331623,991.6102905273438,985.9957061767578,989.0444189453124,990.0753280239898,0.0120551363554881,0.5400990476559406,0.0196280977537374,0.0020872692095241,64.7628756490859,-0.109959201918059,-3.220520387123586,3.110561185205527,0
2015-04-10,1013.5990600585938,1020.1113213741436,1003.7638548597208,1011.593824047173,1815544,TCS.NS,-0.0040534004382167,0.0087645612961198,0.0218179601734136,0.0148000154824214,1000.0972045898436,986.897085571289,990.2296057128906,992.3156834558569,0.0116452601238917,-0.286468981508774,0.0161281389837494,0.0019822541060978,58.70663042221043,1.7741248662714495,-2.2215913364445794,3.995716202716029,1
2015-04-13,1014.2678833007812,1017.896407078359,1003.7642618393724,1017.514457207035,1308642,TCS.NS,0.0006598499037171,-0.0040534004382167,0.0087645612961198,0.0218179601734136,1008.3626586914064,987.593197631836,991.4018103027344,994.4063691553732,0.0116102750001972,-0.2792011650502549,0.0139333458858971,-0.0031906906906907,57.02137947882324,3.2833945815657444,-1.1205941528425147,4.403988734408259,0
