Date,Close,High,Low,Open,Volume,Company
2015-01-01,213.70083618164065,214.22833452461043,212.1295890071732,213.46515184550813,3544940,HDFCBANK.NS
2015-01-02,216.6749725341797,217.5728280206573,213.3304690671629,213.3304690671629,5900384,HDFCBANK.NS
2015-01-05,214.8456115722656,217.853419391055,214.3854496509397,217.7299669951676,4796000,HDFCBANK.NS
2015-01-06,211.50112915039065,214.710960474402,210.4461459837069,214.1385802170047,8219680,HDFCBANK.NS
2015-01-07,212.11837768554688,213.5437179179616,210.1543186329029,210.9287217994117,5746112,HDFCBANK.NS
2015-01-08,216.573974609375,217.4942847607382,212.83665913306956,214.19466290134008,9525824,HDFCBANK.NS
2015-01-09,218.9982147216797,219.97462722981783,216.9668054182323,218.38093898200415,8985184,HDFCBANK.NS
2015-01-12,217.0678253173828,218.7176433055772,216.49544507665829,217.59532373545449,4126412,HDFCBANK.NS
2015-01-13,216.2372894287109,218.16768716064823,214.520148838888,217.4942954704771,5828348,HDFCBANK.NS
2015-01-14,216.3607482910156,218.77373510003895,215.4179972162897,215.49655409743832,3685232,HDFCBANK.NS
2015-01-15,222.9263153076172,224.05985519923544,217.89831874851356,222.21924858205347,11398476,HDFCBANK.NS
2015-01-16,224.76693725585935,227.80843428389184,224.13844102984095,224.9577398049549,7821308,HDFCBANK.NS
2015-01-19,225.4852294921875,228.9531998176996,225.12609269803983,227.43806834831773,4239492,HDFCBANK.NS
2015-01-20,229.16644287109372,230.5244468530233,224.91284882836356,226.70856019625467,8505804,HDFCBANK.NS
2015-01-21,228.94195556640625,231.8599725409981,228.58280510939667,230.6142143469916,6740612,HDFCBANK.NS
2015-01-22,229.2337646484375,231.75898359805308,228.62770936049185,230.07550429830937,6470680,HDFCBANK.NS
2015-01-23,234.0709686279297,235.2381699614802,229.94082733936995,231.19781971405015,9987912,HDFCBANK.NS
2015-01-27,241.08546447753903,241.91596995332108,233.64448065930276,234.11584937259465,9962400,HDFCBANK.NS
2015-01-28,237.56134033203125,245.3839010177348,236.80939181912623,240.17634999664932,11364940,HDFCBANK.NS
2015-01-29,245.78794860839844,247.0449408563662,238.1561766881377,241.29867100824504,20567616,HDFCBANK.NS
