Date,Close,High,Low,Open,Volume,Company
2015-01-01,970.3305053710938,978.5069472251332,968.5960860533944,978.5069472251332,366830,TCS.NS
2015-01-02,983.2529296875,987.6365808167918,972.255738996746,972.408176593336,925740,TCS.NS
2015-01-05,968.3104248046876,991.048195606,962.363869470166,983.8437974297404,1754242,TCS.NS
2015-01-06,932.6123657226562,964.0603004488196,930.0964937192616,964.0603004488196,2423784,TCS.NS
2015-01-07,921.5956420898438,945.0195608350892,917.6884759723764,941.5317375750274,2636332,TCS.NS
2015-01-08,931.544677734375,933.5268312419672,922.6820812352424,931.0109601717644,1565408,TCS.NS
2015-01-09,957.6558227539062,960.5527872206744,933.9078613804484,935.8137957914288,3197642,TCS.NS
2015-01-12,956.6649780273438,963.6407186141348,945.439039692527,959.4476616897856,1596006,TCS.NS
2015-01-13,952.1672973632812,964.55587912161,945.382240881639,960.5915701842504,1468432,TCS.NS
2015-01-14,961.334716796875,965.0894466781688,953.1582727221067,959.0666723330615,1787096,TCS.NS
2015-01-15,967.871826171875,984.129412434662,961.8299757628588,965.5465485414928,5009920,TCS.NS
2015-01-16,965.2225341796876,970.1208238949772,946.9827937805394,969.6252622288694,5293830,TCS.NS
2015-01-19,957.160400390625,972.407877895852,954.1109048895796,966.6900738313918,1135074,TCS.NS
2015-01-20,953.1387329101562,964.4028240327448,946.5823370669224,960.5909551630502,2058566,TCS.NS
2015-01-21,958.2276611328124,961.3533751435556,948.4883170899892,961.3533751435556,2310480,TCS.NS
2015-01-22,958.1328735351562,961.067995652907,951.2524276259117,959.2573568906456,2113214,TCS.NS
2015-01-23,954.3397216796876,965.18447220857,951.4808194455414,958.3040288857472,3150380,TCS.NS
2015-01-27,955.6576538085938,960.6038857833084,950.883280618816,959.591755966866,2738736,TCS.NS
2015-01-28,969.9995727539062,972.0238317257416,955.9819430467868,956.0201753196104,3121980,TCS.NS
2015-01-29,971.9287719726562,981.1146856819928,959.801862694602,969.3888424472838,3734392,TCS.NS
2015-01-30,948.0184326171876,983.5206446146487,943.4159193002648,978.0587443267036,5817402,TCS.NS
2015-02-02,960.2982788085938,963.0674151766528,940.3796317505517,947.9995124858676,3181802,TCS.NS
2015-02-03,977.1233520507812,979.7015139295432,957.5866515581808,959.324449039829,2345054,TCS.NS
2015-02-04,960.3365478515624,982.2604324291036,955.6767782278788,980.8472366025856,2245418,TCS.NS
2015-02-05,974.8890380859376,989.8996901250634,962.1319467546914,962.5138967137048,4530168,TCS.NS
2015-02-06,983.8070678710938,991.0832292533704,974.296556402558,975.1177110647004,2136416,TCS.NS
2015-02-09,959.8014526367188,981.2671023623982,954.8743383506084,978.3642470740336,2076432,TCS.NS
2015-02-10,932.3965454101562,964.9005047092444,929.2836924127032,958.6938216012682,3799054,TCS.NS
2015-02-11,939.5581665039062,950.0045296193832,934.7265393953304,937.705766138911,2937522,TCS.NS
2015-02-12,940.4178466796876,947.1593179177372,934.6313433778556,947.1593179177372,3107980,TCS.NS
2015-02-13,969.6747436523438,973.1122907494864,939.69169397171,943.415703326948,4158326,TCS.NS
2015-02-16,987.2638549804688,991.1597242641,975.8817323679287,977.7914813549502,2364392,TCS.NS
2015-02-18,1006.6859741210938,1009.493342509584,979.7967449385964,987.3593697866316,2660014,TCS.NS
2015-02-19,1024.026123046875,1026.4133083483357,1006.4373230958277,1006.8192727440612,2618002,TCS.NS
2015-02-20,1021.92578125,1030.8061138845808,1009.2068345686438,1030.8061138845808,1801588,TCS.NS
2015-02-23,1029.984375,1039.6668348803012,1020.1874048366218,1020.1874048366218,1614892,TCS.NS
2015-02-24,1033.0787353515625,1042.722967930406,1023.2435278701676,1028.9727749467083,2199922,TCS.NS
2015-02-25,1020.6461791992188,1039.667296813591,1018.9847536128392,1035.0838994727524,1767994,TCS.NS
2015-02-26,1014.6304321289062,1028.4952272147436,1002.7518504158256,1023.2434179587032,1991994,TCS.NS
2015-02-27,1016.8839111328124,1022.0020002662084,999.295107240558,1015.7762009550694,2877376,TCS.NS
2015-03-02,1019.5764770507812,1034.6826061159547,1013.1406806490512,1023.5105775534486,2176038,TCS.NS
2015-03-03,1060.292236328125,1065.6395314681083,1022.1545261906874,1024.3889689596656,3424308,TCS.NS
2015-03-04,1048.833740234375,1074.0806494312658,1037.2415310423564,1064.8756255547842,3862994,TCS.NS
2015-03-05,1029.9085693359375,1058.2683433565749,1024.026579431444,1050.3620007643513,2173514,TCS.NS
2015-03-09,1010.944580078125,1023.548921368412,996.8888111408852,1008.3473032229645,2883174,TCS.NS
2015-03-10,1009.378662109375,1022.956995399972,991.25516374938,1011.7467320888048,3037052,TCS.NS
2015-03-11,995.5714721679688,1015.9675583332412,992.229410738768,1009.1115766798056,2240200,TCS.NS
2015-03-12,1000.3456420898438,1002.5799924696074,989.2882140325004,1002.1980426697028,1827636,TCS.NS
2015-03-13,986.3275756835938,1008.3278164446584,983.5202088556388,1007.5830333829804,1586838,TCS.NS
2015-03-16,978.6697998046876,996.888783051955,974.7356989841338,987.416411214446,1556296,TCS.NS
2015-03-17,986.8435668945312,995.6284112911412,976.9319893665072,986.3852458367724,1267318,TCS.NS
2015-03-18,977.5431518554688,992.8592812238204,974.6211802528576,989.6127082761096,1255170,TCS.NS
2015-03-19,991.6375732421876,995.3043301195036,980.8857192808352,983.9030866333654,2448964,TCS.NS
2015-03-20,997.251708984375,999.944473447024,984.991177616381,991.5415787121752,1963908,TCS.NS
2015-03-23,999.6195678710938,1004.9096082397078,995.3608662381904,999.1803630387972,1566608,TCS.NS
2015-03-24,989.74658203125,1007.2016700639203,986.2326623555508,1004.528021337926,2394878,TCS.NS
2015-03-25,983.0435180664062,998.4170009618596,972.1388301825916,989.784896247476,2224858,TCS.NS
2015-03-26,959.8780517578124,987.9895002703984,955.2564220124664,975.2324146212756,3091642,TCS.NS
2015-03-27,960.5272216796876,982.3364958131274,956.4403781248616,966.7147887976852,2751776,TCS.NS
2015-03-30,979.3766479492188,981.5728595359752,962.5135997611296,964.4233489670048,1339006,TCS.NS
2015-03-31,975.4805908203124,981.4008122211968,962.8953646212271,981.4008122211968,2427028,TCS.NS
2015-04-01,971.1644897460938,979.1664115686737,963.3727521843176,977.0274556794468,2075758,TCS.NS
2015-04-06,972.9406127929688,978.8989729186064,954.912603317568,977.0274564511424,1568542,TCS.NS
2015-04-07,987.3401489257812,992.687445670447,971.6802084592604,978.7271630193036,1886922,TCS.NS
2015-04-08,1008.8818969726562,1014.6493747235234,989.5744143005056,990.777518551786,1652134,TCS.NS
2015-04-09,1017.7243041992188,1026.4709168549923,1006.4949247258156,1015.6044642718888,2544450,TCS.NS
2015-04-10,1013.5990600585938,1020.1113213741436,1003.7638548597208,1011.593824047173,1815544,TCS.NS
2015-04-13,1014.2678833007812,1017.896407078359,1003.7642618393724,1017.514457207035,1308642,TCS.NS
2015-04-15,1003.6686401367188,1036.5735798506423,996.6598236355202,1013.962169142304,2913934,TCS.NS
2015-04-16,986.4999389648438,1003.3821010792076,982.1266325072532,1003.3629849397632,3217570,TCS.NS
2015-04-17,945.2684936523438,977.791481610017,943.4159998346648,976.6838644970404,9668742,TCS.NS
2015-04-20,927.6797485351562,948.7251278278492,926.171065384553,947.2546769593245,2890722,TCS.NS
2015-04-21,927.01171875,936.541352112829,917.061903108851,927.6801312158228,2546032,TCS.NS
2015-04-22,933.9052734375,944.5616330491964,919.5630431737836,928.7107200805182,4186812,TCS.NS
2015-04-23,938.5458984375,947.1588828050662,928.7870649722382,944.17965650117,4342990,TCS.NS
2015-04-24,952.2201538085938,960.2219850339808,934.8414345090526,937.8015460380954,3625158,TCS.NS
2015-04-27,954.9507446289062,962.5133683155616,949.527076838288,954.6833984542642,2733052,TCS.NS
2015-04-28,952.9647827148438,958.6940299055142,937.725022487447,958.6940299055142,3088298,TCS.NS
2015-04-29,950.0234985351562,952.9644925476402,936.1778220402256,948.7630458871096,2019620,TCS.NS
2015-04-30,941.0098876953124,951.0551880503184,927.0305782302856,947.2356893031284,3738054,TCS.NS
2015-05-04,947.8271484375,956.7074775735488,938.5266373973952,951.4365538880736,1890630,TCS.NS
