Date,Close,High,Low,Open,Volume,Company
2015-01-01,359.98101806640625,361.3666779706182,356.79034356363843,358.9873375102883,2002764,INFY.NS
2015-01-02,367.05517578125,368.1217904621725,359.5434254899942,359.5434254899942,6778320,INFY.NS
2015-01-05,363.9010009765625,370.1182538936478,360.5462300860535,366.45354065858766,9937024,INFY.NS
2015-01-06,356.2980041503906,361.9135993808658,352.63329155000065,361.0019782237352,9667316,INFY.NS
2015-01-07,358.0028991699219,360.0449224901249,355.53239592644314,358.2672605104927,7249916,INFY.NS
2015-01-08,359.8078308105469,364.1015763799739,355.53233547368507,362.0230751982361,13564920,INFY.NS
2015-01-09,378.2226867675781,384.5220010934516,348.7955585430611,361.020391169938,44863328,INFY.NS
2015-01-12,385.7890319824219,386.3815858626536,378.3228619940553,381.422374598344,12758888,INFY.NS
2015-01-13,380.8571472167969,384.3031026041001,378.3228576860764,384.3031026041001,8801236,INFY.NS
2015-01-14,388.10443115234375,388.8975593104674,381.531678664492,382.607373752,9921260,INFY.NS
2015-01-15,389.1256103515625,392.5077347851084,385.1144760290912,389.2988095220252,8342452,INFY.NS
2015-01-16,386.2174987792969,393.8204117140013,385.0688470092457,391.6325205378124,6690960,INFY.NS
2015-01-19,383.3367309570313,388.77912755836064,381.8963872046732,386.52740529317776,4087744,INFY.NS
2015-01-20,387.293212890625,388.8976754000788,383.1453356682378,384.1572442887792,6804504,INFY.NS
2015-01-21,395.6253662109375,396.72843680909534,386.1627555859589,388.6241329232632,8494908,INFY.NS
2015-01-22,400.4660949707031,401.6603277255479,394.0574153089185,396.5187927144086,9958396,INFY.NS
2015-01-23,403.8572998046875,405.671417014178,394.75021330056006,401.11331120503,9486328,INFY.NS
2015-01-27,389.5357971191406,404.9421977072836,388.36893961342696,404.9421977072836,13739968,INFY.NS
2015-01-28,391.0035095214844,392.8723332287162,388.4053887577718,391.9971678583874,13134356,INFY.NS
2015-01-29,391.1767578125,391.9789668703046,387.9131708798556,391.0855956689874,15369424,INFY.NS
2015-01-30,390.5203552246094,394.28537829207113,387.79461615723153,394.0939288966471,10833744,INFY.NS
2015-02-02,389.5997009277344,392.36189628654,387.630589571698,390.4474911234319,8702540,INFY.NS
2015-02-03,386.6915283203125,390.1648145832728,383.2456174056423,389.59963605117815,5265956,INFY.NS
2015-02-04,390.6935424804688,391.99714308142745,387.6942729150587,390.1556503251049,5160016,INFY.NS
2015-02-05,399.9829711914063,404.7598579092246,391.63251116622274,392.143027997669,11875936,INFY.NS
2015-02-06,406.6742248535156,409.8284431664973,399.0166066316606,402.0249566473893,7453728,INFY.NS
2015-02-09,410.0290222167969,410.9588937744518,401.11338345332473,401.11338345332473,6536868,INFY.NS
2015-02-10,415.3894348144531,418.9812143903552,408.5887299603072,408.9533785368001,8516920,INFY.NS
2015-02-11,416.5835571289063,418.10593782364526,411.3690660653148,415.7904288806428,5796972,INFY.NS
2015-02-12,421.38775634765625,423.3477418428275,414.4229795836447,416.2462219047342,6287536,INFY.NS
2015-02-13,418.6348571777344,424.2139542385504,416.7933638804163,419.2729922492923,5657516,INFY.NS
2015-02-16,415.471435546875,420.6038460075496,413.0100578705688,415.7540470715218,6244276,INFY.NS
2015-02-18,418.7076416015625,420.2482726169442,411.7154887843023,417.6228212127882,8613764,INFY.NS
2015-02-19,423.8492126464844,425.544837224352,417.89634316136784,418.2518665778336,9673624,INFY.NS
2015-02-20,416.26458740234375,425.90952414662,415.1341412400308,424.5420920271424,6971628,INFY.NS
2015-02-23,413.0739135742188,421.023225609292,409.88323862014056,419.3458511074152,5090488,INFY.NS
2015-02-24,414.3866882324219,418.6074780771232,411.61536770615936,415.5170900179378,6437676,INFY.NS
2015-02-25,422.55474853515625,425.6907170957369,415.6993381362262,417.32200634402176,6044972,INFY.NS
2015-02-26,411.7064208984375,420.9867077377039,409.3908672335457,420.71322135329217,6445776,INFY.NS
2015-02-27,413.1011657714844,415.8177792672736,410.5030452320411,414.7694148390772,7801076,INFY.NS
2015-03-02,417.83251953125,420.89557616155366,415.3438110575565,419.89279267925406,7040992,INFY.NS
2015-03-03,418.9538879394531,419.8837151115877,415.3894391643554,417.5226244566242,4905552,INFY.NS
2015-03-04,414.7239685058594,421.8801975796534,410.5760905076731,419.3459075089466,4375228,INFY.NS
2015-03-05,409.7919616699219,419.1178283321132,407.1938413637848,413.3381590799586,5684916,INFY.NS
2015-03-09,399.2992248535156,411.87047274410577,397.28453302762574,411.87047274410577,7984720,INFY.NS
2015-03-10,400.7487487792969,402.38054210676034,393.8568824136611,400.7669990115525,6329916,INFY.NS
2015-03-11,397.8680114746094,408.40636314033634,395.479590254972,400.037696986449,6780912,INFY.NS
2015-03-12,404.4499816894531,405.935906848875,396.9199796046888,397.2846281849411,5688564,INFY.NS
2015-03-13,404.8328247070313,406.5831556485615,399.7277447257937,405.6715342233405,6179684,INFY.NS
2015-03-16,413.2653198242188,416.064015383989,403.0369542167847,403.0369542167847,6818632,INFY.NS
2015-03-17,408.4974670410156,415.6081125284513,404.25842838504434,413.265228197361,5539312,INFY.NS
2015-03-18,406.491943359375,412.57247532058335,405.2247986371914,411.0500499231715,4905564,INFY.NS
2015-03-19,406.6651306152344,410.047254489229,405.2612427371871,407.4218029903549,6891740,INFY.NS
2015-03-20,411.587890625,413.6754944933138,407.1209462681261,408.58866545936496,6430896,INFY.NS
2015-03-23,407.212158203125,414.7877410129696,405.76268906565446,410.7766068141629,5078700,INFY.NS
2015-03-24,403.2009582519531,410.84945172211263,402.2072999809342,407.47645305953455,6736532,INFY.NS
2015-03-25,404.5958251953125,406.42814858842365,401.250156871704,405.28862184506426,6170968,INFY.NS
2015-03-26,391.3317565917969,403.83005102739565,388.7153852322427,402.572031234893,15740840,INFY.NS
2015-03-27,401.5054321289063,405.61685392159535,394.3674537189887,394.5497780156687,10074220,INFY.NS
2015-03-30,406.2184448242188,408.40633590944793,400.183494109025,402.1343992702275,4623088,INFY.NS
2015-03-31,404.4590759277344,414.54157279174217,401.9065360608437,409.3180000835318,8016412,INFY.NS
2015-04-01,396.3638000488281,401.022193605446,393.4010309439914,400.91278124878,6738488,INFY.NS
2015-04-06,397.13873291015625,398.3238407155839,393.8933518635093,397.2846012349153,7741752,INFY.NS
2015-04-07,393.7292785644531,397.9774431468168,389.80930658522846,396.555304875057,8542268,INFY.NS
2015-04-08,401.213623046875,402.0067067986654,396.1997063492454,397.9226615482435,10185576,INFY.NS
2015-04-09,403.8482055664063,404.55925232189503,398.2690658243596,403.1918204746047,10581548,INFY.NS
2015-04-10,407.3033142089844,408.0417364415586,402.97311258231457,402.97311258231457,7123776,INFY.NS
2015-04-13,408.1875915527344,409.1356688703808,404.04883945557305,408.0417232316899,4872336,INFY.NS
2015-04-15,403.61126708984375,409.31802620180287,400.2109369267257,407.7682697551591,6237784,INFY.NS
