Date,Close,High,Low,Open,Volume,Company,Daily_Return,Return_Lag_1,Return_Lag_2,Return_Lag_3,SMA_5,SMA_20,SMA_50,EMA_20,Volatility_20,Volume_Change,High_Low_Range,Open_Close_Change,RSI_14,MACD,MACD_Signal,MACD_Hist
2015-01-02,15.425999641418455,15.737500190734863,15.347999572753906,15.628999710083008,55664000,AMZN,,,,,,,,15.425999641418455,,,0.025249619281408304,-0.012988679533571659,,0.0,0.0,0.0
2015-01-05,15.10949993133545,15.418999671936035,15.042499542236328,15.350500106811523,55484000,AMZN,-0.020517290123176934,,,,,,,15.39585681188674,,-0.00323368784133371,0.02491810658265976,-0.015699825660346695,,-0.025247840120581344,-0.005049568024116269,-0.020198272096465075
2015-01-06,14.76449966430664,15.149999618530272,14.619000434875488,15.112000465393066,70380000,AMZN,-0.022833334564125174,-0.020517290123176934,,,,,,15.335727559736254,,0.26847379424699014,0.035964590451952834,-0.022995023185859016,,-0.07226257558919968,-0.018492169537132952,-0.05377040605206673
2015-01-07,14.92099952697754,15.064000129699709,14.76650047302246,14.875,52806000,AMZN,0.010599740338593344,-0.022833334564125174,-0.020517290123176934,,,,,15.296229651854471,,-0.24970161977834615,0.019938319556901184,0.0030924051749607285,,-0.09578965763115832,-0.03395166715593803,-0.06183799047522029
2015-01-08,15.02299976348877,15.156999588012695,14.805500030517578,15.015999794006348,61768000,AMZN,0.0068360190164746815,0.010599740338593344,-0.022833334564125174,-0.020517290123176934,15.04879970550537,,,15.270207757724403,,0.16971556262545917,0.023397428145435113,0.00046616739334372665,,-0.10499416563315123,-0.04816016685138067,-0.056833998781770555
2015-01-09,14.846500396728516,15.143500328063965,14.833999633789062,15.074000358581545,51848000,AMZN,-0.011748610100441481,0.0068360190164746815,0.010599740338593344,-0.022833334564125174,14.932899856567383,,,15.229854675724795,,-0.1606009584250745,0.020846710403422886,-0.015092208865678755,,-0.12508888160837195,-0.06354590980277892,-0.061542971805593025
2015-01-12,14.570500373840332,14.92549991607666,14.46399974822998,14.878000259399414,68428000,AMZN,-0.018590241168821242,-0.011748610100441481,0.0068360190164746815,0.010599740338593344,14.82509994506836,,,15.167059027926275,,0.31978089800956644,0.031673597749275,-0.020668092498843323,,-0.16142418647338985,-0.08312156513690111,-0.07830262133648874
2015-01-13,14.737000465393066,15.074999809265137,14.661499977111816,14.87399959564209,82728000,AMZN,0.0114272047823194,-0.018590241168821242,-0.011748610100441481,0.0068360190164746815,14.819600105285645,,,15.12610106958978,,0.20897878061612207,0.028058615667709515,-0.009210645016365511,,-0.17477036746629615,-0.10145132560278011,-0.07331904186351604
2015-01-14,14.66349983215332,14.795499801635742,14.324999809265137,14.596500396728516,110774000,AMZN,-0.00498748937494764,0.0114272047823194,-0.018590241168821242,-0.011748610100441481,14.768100166320801,,,15.082043808881545,,0.33901460206943246,0.03208647306278947,0.004590102668706886,,-0.18909839035489107,-0.11898073855320232,-0.07011765180168875
2015-01-15,14.34749984741211,14.800000190734863,14.340999603271484,14.699999809265137,88384000,AMZN,-0.02155010661563239,-0.00498748937494764,0.0114272047823194,-0.018590241168821242,14.63300018310547,,,15.01208724112255,,-0.20212324191597308,0.03199167745913375,-0.02397958955284157,,-0.22337705789249185,-0.13986000242106023,-0.08351705547143162
2015-01-16,14.536999702453612,14.53950023651123,14.262499809265137,14.314000129699709,69564000,AMZN,0.013207865973644317,-0.02155010661563239,-0.00498748937494764,0.0114272047823194,14.571100044250489,,,14.966840808868366,,-0.21293446777697322,0.019054855397660945,0.015579123287221946,,-0.23257115874750056,-0.15840223368634831,-0.07416892506115225
2015-01-20,14.472000122070312,14.66800022125244,14.319499969482422,14.62950038909912,61502000,AMZN,-0.0044713201976834815,0.013207865973644317,-0.02155010661563239,-0.00498748937494764,14.551399993896485,,,14.919713124411409,,-0.11589327813236727,0.024081001162965895,-0.0107659361454452,,-0.24230928225425252,-0.17518364339992915,-0.06712563885432338
2015-01-21,14.862500190734863,15.300000190734863,14.36299991607666,14.482000350952148,201302000,AMZN,0.0269831443733215,-0.0044713201976834815,0.013207865973644317,-0.02155010661563239,14.576499938964844,,,14.91426427358507,,2.273096809859842,0.0630445929442154,0.026273983604599076,,-0.2160265042278482,-0.18335221556551295,-0.03267428866233524
2015-01-22,15.515999794006348,15.612500190734863,15.0,15.0,107252000,AMZN,0.043969695198313286,0.0269831443733215,-0.0044713201976834815,0.013207865973644317,14.746999931335449,,,14.971572418387098,,-0.4672084728417999,0.039475393069511706,0.034399986267089844,,-0.14084172113447657,-0.1748501166793057,0.03400839554482912
2015-01-23,15.619500160217283,15.846500396728516,15.38599967956543,15.404000282287598,89928000,AMZN,0.006670557333399607,0.043969695198313286,0.0269831443733215,-0.0044713201976834815,15.001399993896484,,,15.033279822370925,,-0.16152612538693922,0.029482423409167523,0.01398986457936383,52.90497731855561,-0.0720747909660382,-0.1542950515366522,0.08222026057061402
2015-01-26,15.482999801635742,15.649999618530272,15.37600040435791,15.590999603271484,63394000,AMZN,-0.008739099022464614,0.006670557333399607,0.043969695198313286,0.0269831443733215,15.19060001373291,,,15.076110296586622,,-0.295058268837292,0.017696778252455584,-0.006927060764794094,55.92762791660702,-0.02826511882956595,-0.12908906499523498,0.10082394616566903
2015-01-27,15.337499618530272,15.51200008392334,15.131500244140623,15.3149995803833,58406000,AMZN,-0.009397415550576937,-0.008739099022464614,0.006670557333399607,0.043969695198313286,15.363699913024902,,,15.101004517724112,,-0.07868252516010976,0.02480846612853434,0.0014691504252987875,59.708571886549265,-0.005226044225878468,-0.10431646084136369,0.09909041661548522
2015-01-28,15.195500373840332,15.575499534606934,15.1899995803833,15.490500450134276,61276000,AMZN,-0.009258304692531527,-0.009397415550576937,-0.008739099022464614,0.006670557333399607,15.430299949645995,,,15.110004123068515,,0.04913878711091324,0.02536934913227909,-0.019043934522553558,54.673946614366386,0.0015564937843777216,-0.0831418699162154,0.08469836370059312
2015-01-29,15.58899974822998,15.640000343322754,14.966500282287598,15.236499786376951,173132000,AMZN,0.02589578261385017,-0.009258304692531527,-0.009397415550576937,-0.008739099022464614,15.444899940490723,,,15.155622754036274,,1.8254455251648278,0.043203545571397384,0.023135232290568568,58.7670416172054,0.038242973729087026,-0.05886490118715493,0.09710787491624195
2015-01-30,17.726499557495117,17.975000381469727,17.03700065612793,17.31599998474121,477122000,AMZN,0.13711590504758542,0.02589578261385017,-0.009258304692531527,-0.009397415550576937,15.866299819946288,15.137374925613404,,15.400468163889498,,1.755827923203105,0.052915112896341224,0.02370637405380208,77.75100807563237,0.23706293027980685,0.00032066510623742633,0.23674226517356942
2015-02-02,18.223499298095703,18.25,17.500499725341797,17.502500534057617,204638000,AMZN,0.02803710563321249,0.13711590504758542,0.02589578261385017,-0.009258304692531527,16.414399719238283,15.277249908447265,,15.669328271909135,0.03555374807709302,-0.5710992157142198,0.0411282302261522,0.0411940432531406,83.76154964175512,0.42977868260785534,0.086212268606561,0.34356641400129434
2015-02-03,18.177499771118164,18.391000747680664,18.010499954223633,18.01449966430664,124252000,AMZN,-0.0025241873816378435,0.02803710563321249,0.13711590504758542,0.02589578261385017,16.98239974975586,15.430649900436402,,15.90820174802428,0.034992547588739806,-0.39282049277260334,0.020932515376047522,0.009048272771876462,82.52198121281742,0.572199566950907,0.18340972827543023,0.3887898386754768
2015-02-04,18.237499237060547,18.375,17.911500930786133,17.91900062561035,83398000,AMZN,0.0033007545975995978,-0.0025241873816378435,0.02803710563321249,0.13711590504758542,17.5907995223999,15.604299879074096,,16.130039604122974,0.034187228526737334,-0.32879953642597304,0.025414617606781723,0.01777435126571668,83.87036891092363,0.6820483702925646,0.28313745667885715,0.39891091361370745
