Date,Adj Close,Close,High,Low,Open,Volume,Company,Daily_Return,Adj_Daily_Return,Return_Lag_1,Return_Lag_2,Return_Lag_3,SMA_5,SMA_20,SMA_50,EMA_20,Volatility_20,Volume_Change,High_Low_Range,Open_Close_Change,RSI_14,MACD,MACD_Signal,MACD_Hist
2015-01-02,39.60719299316406,46.7599983215332,47.41999816894531,46.540000915527344,46.65999984741211,27913900,MSFT,,,,,,,,,46.7599983215332,,,0.018819445787121122,0.002143130613975772,,0.0,0.0,0.0
2015-01-05,39.24296569824219,46.33000183105469,46.72999954223633,46.25,46.369998931884766,39673900,MSFT,-0.009195819202596045,-0.00919598859188886,,,,,,,46.71904627482097,,0.4212954836121072,0.010360447296908753,-0.0008625641956307113,,-0.034301714340159606,-0.006860342868031922,-0.027441371472127683
2015-01-06,38.6669807434082,45.650001525878906,46.75,45.540000915527344,46.380001068115234,36447900,MSFT,-0.014677320921666404,-0.014677406372979207,-0.009195819202596045,,,,,,46.61723248920744,,-0.08131290344533815,0.02650600315504283,-0.01573953267409861,,-0.11503041271937775,-0.02849435683830109,-0.08653605588107666
2015-01-07,39.15825653076172,46.22999954223633,46.459999084472656,45.4900016784668,45.97999954223633,29114100,MSFT,0.01270532304426375,0.012705305092569619,-0.014677320921666404,-0.009195819202596045,,,,,46.580353160924474,,-0.20121323862280127,0.020981990387424883,0.005437146639602614,,-0.1307008570082715,-0.048935656872295175,-0.08176520013597632
2015-01-08,40.310203552246094,47.59000015258789,47.75,46.720001220703125,46.75,29645200,MSFT,0.029418140251311176,0.029417730091722438,0.01270532304426375,-0.014677320921666404,-0.009195819202596045,46.512000274658206,,,46.67651001727337,,0.01824202018953014,0.021643176633628667,0.017967917702414772,,-0.03299872498995171,-0.045748270495826485,0.012749545505874774
2015-01-09,39.97140502929688,47.18999862670898,47.81999969482422,46.900001525878906,47.61000061035156,23944200,MSFT,-0.008405159163613951,-0.008404783233359137,0.029418140251311176,0.01270532304426375,-0.014677320921666404,46.59800033569336,,,46.72541369436248,,-0.1923076923076923,0.019495617624888096,-0.008821717669780215,,0.012015629655032,-0.03419549046565479,0.04621112012068679
2015-01-12,39.471656799316406,46.59999847412109,47.540000915527344,46.36000061035156,47.41999816894531,23651900,MSFT,-0.012502652463608155,-0.012502643567675165,-0.008405159163613951,0.029418140251311176,0.01270532304426375,46.65199966430664,,,46.71346938767282,,-0.0122075492185999,0.025321895789998456,-0.017292275969787618,,8.081693790984446e-05,-0.027340228984941862,0.027421045922851706
2015-01-13,39.26836395263672,46.36000061035156,47.90999984741211,46.060001373291016,46.970001220703125,35270600,MSFT,-0.005150168919057063,-0.005150349976776436,-0.012502652463608155,-0.008405159163613951,0.029418140251311176,46.79399948120117,,,46.679805694594606,,0.4912374904341723,0.03990505715627653,-0.012987025643991052,,-0.02841586953077524,-0.027555357094108536,-0.0008605124366667036
2015-01-14,38.92956161499024,45.959999084472656,46.2400016784668,45.619998931884766,45.959999084472656,29719600,MSFT,-0.008628160496391146,-0.008627869957992695,-0.005150168919057063,-0.012502652463608155,-0.008405159163613951,46.73999938964844,,,46.6112526841068,,-0.1573832030076041,0.013490051325773326,0.0,,-0.08232745934665786,-0.0385097775446184,-0.04381768180203946
2015-01-15,38.52298355102539,45.47999954223633,46.380001068115234,45.40999984741211,46.220001220703125,32750800,MSFT,-0.010443854477762415,-0.010443941495819287,-0.008628160496391146,-0.005150168919057063,-0.012502652463608155,46.317999267578124,,,46.50351428964295,,0.10199329735258877,0.02132808334358722,-0.016010421006551836,,-0.1619182415249938,-0.06319147034069347,-0.09872677118430032
