Date,Adj Close,Close,High,Low,Open,Volume,Company,Daily_Return,Adj_Daily_Return,Return_Lag_1,Return_Lag_2,Return_Lag_3,SMA_5,SMA_20,SMA_50,EMA_20,Volatility_20,Volume_Change,High_Low_Range,Open_Close_Change,RSI_14,MACD,MACD_Signal,MACD_Hist
2015-01-01,189.12535095214844,202.95899963378903,203.8961944580078,201.98751831054688,202.59327697753903,2963643,RELIANCE.NS,,,,,,,,,202.95899963378903,,,0.009404244950481994,0.0018052062817985152,,0.0,0.0,0.0
2015-01-02,188.62484741210932,202.4218292236328,204.82196044921875,202.1361083984375,203.0047149658203,7331366,RELIANCE.NS,-0.002646694214720524,-0.002646411692136197,,,,,,,202.90784054710747,,1.4737682642612486,0.013268588971271266,-0.0028712916460370877,,-0.04285120081019045,-0.00857024016203809,-0.03428096064815236
2015-01-05,186.5586700439453,200.2045745849609,203.644760131836,199.80455017089844,202.29611206054688,10103941,RELIANCE.NS,-0.010953634038265214,-0.010953898155579678,-0.002646694214720524,,,,,,202.65038664595068,,0.37817986443454066,0.019181429639650343,-0.010338989979995128,,-0.2528107600762155,-0.057418344144873575,-0.19539241593134193
2015-01-06,178.09182739257812,191.118392944336,199.55311584472656,190.1811981201172,198.86737060546875,18627980,RELIANCE.NS,-0.045384485641555616,-0.045384342895308794,-0.010953634038265214,-0.002646694214720524,,,,,201.55210153151117,,0.8436350726909432,0.049037235925999983,-0.038965555976027286,,-1.139251562627095,-0.27378498784131783,-0.865466574785777
2015-01-07,181.9684600830078,195.2786102294922,196.30723571777344,191.3241271972656,191.34698486328125,20720312,RELIANCE.NS,0.021767749409487003,0.021767605774992704,-0.045384485641555616,-0.010953634038265214,-0.002646694214720524,198.3964813232422,,,200.95462616941413,,0.11232200163410089,0.02551794338689564,0.020547098607381305,,-1.4889043559792583,-0.5168088614689059,-0.9720954945103524
2015-01-08,179.35919189453125,192.4784698486328,197.2444305419922,192.04415893554688,196.60438537597656,19872227,RELIANCE.NS,-0.014339206826434525,-0.014339123314481506,0.021767749409487003,-0.045384485641555616,-0.010953634038265214,196.30037536621094,,,200.14737318648258,,-0.040930126920868726,0.027017419717305854,-0.02098587739766614,,-1.9692543030219554,-0.8072979497795159,-1.1619563532424395
2015-01-09,183.2464904785156,196.6501007080078,197.0386962890625,193.1527862548828,193.92996215820312,13392787,RELIANCE.NS,0.021673233700660655,0.021673261029578006,-0.014339206826434525,0.021767749409487003,-0.045384485641555616,195.14602966308593,,,199.81429961710404,,-0.32605505160543913,0.019760529082818053,0.014026396537867974,,-1.9903755399511738,-1.0439134678138475,-0.9464620721373262
2015-01-12,181.11648559570312,194.36427307128903,196.81011962890625,192.3756103515625,196.69583129882807,10100113,RELIANCE.NS,-0.01162383150829327,-0.011623714469239488,0.021673233700660655,-0.014339206826434525,0.021767749409487003,193.97796936035155,,,199.29524946988357,,-0.24585427962081385,0.02281545475035558,-0.011853622988058343,,-2.166586399848171,-1.2684480542207124,-0.8981383456274588
2015-01-13,179.593505859375,192.7299041748047,195.4271850585937,192.1241607666016,194.9814453125,9948711,RELIANCE.NS,-0.00840879278201967,-0.008408841035750791,-0.01162383150829327,0.021673233700660655,-0.014339206826434525,194.3002716064453,,,198.66997848939985,,-0.014990129318355194,0.01713809959141723,-0.011547463575760916,,-2.4103299040471597,-1.496824424186002,-0.9135054798611577
2015-01-14,177.8468780517578,190.85552978515625,193.6099548339844,189.9983367919922,192.69561767578125,11380041,RELIANCE.NS,-0.00972539470547551,-0.009725450813265146,-0.00840879278201967,-0.01162383150829327,0.021673233700660655,193.41565551757813,,,197.9257452794719,,0.143870899456221,0.018923308358200417,-0.009549194282773092,,-2.7233516332456986,-1.7421298659979414,-0.9812217672477572
2015-01-15,184.0878448486328,197.55300903320312,199.11880493164065,192.00987243652344,192.00987243652344,16927085,RELIANCE.NS,0.03509187947336989,0.03509179843493637,-0.00972539470547551,-0.00840879278201967,-0.01162383150829327,194.4305633544922,,,197.89024658935108,,0.4874362051946912,0.03598493654896648,0.028869018693360123,,-2.403289382679617,-1.8743617693342767,-0.5289276133453402
2015-01-16,185.24874877929688,198.79879760742188,200.01028442382807,194.7642974853516,196.5815277099609,19136963,RELIANCE.NS,0.006306097691528345,0.0063062497777548465,0.03509187947336989,-0.00972539470547551,-0.00840879278201967,194.860302734375,,,197.97677525773878,,0.13055277976095714,0.0263884238818989,0.01127913656634288,,-2.0257613014416904,-1.9046416757557596,-0.12111962568593082
2015-01-19,187.3681030273437,201.0731964111328,202.52468872070312,196.2958068847656,198.9130859375,13339962,RELIANCE.NS,0.011440707041912246,0.011440586033710787,0.006306097691528345,0.03509187947336989,-0.00972539470547551,196.20208740234375,,,198.27167251044295,,-0.30292168093756566,0.030978180817304867,0.010859569461968609,,-1.5254580705297087,-1.8288049547105496,0.3033468841808409
