Date,Adj Close,Close,High,Low,Open,Volume,Company,Daily_Return,Adj_Daily_Return,Return_Lag_1,Return_Lag_2,Return_Lag_3,SMA_5,SMA_20,SMA_50,EMA_20,Volatility_20,Volume_Change,High_Low_Range,Open_Close_Change,RSI_14,MACD,MACD_Signal,MACD_Hist
2015-01-01,359.9810791015625,493.6000061035156,495.5,489.2250061035156,492.2374877929688,2002764,INFY.NS,,,,,,,,,493.6000061035156,,,0.012712710330008405,0.0027680100446146488,,0.0,0.0,0.0
2015-01-02,367.05517578125,503.2999877929688,504.7625122070313,493.0,493.0,6778320,INFY.NS,0.01965150236934754,0.01965130138879223,,,,,,,494.52381388346356,,2.3844826449846312,0.02337077785082281,0.020892470168293726,,0.7737877131187929,0.1547575426237586,0.6190301704950343
2015-01-05,363.9009704589844,498.9750061035156,507.5,494.375,502.4750061035156,9937024,INFY.NS,-0.008593248150906452,-0.00859327297470236,0.01965150236934754,,,,,,494.9477369520399,,0.4660010150007672,0.026303922720484187,-0.006965520588060771,,1.0262007699578248,0.32904618809057185,0.697154581867253
2015-01-06,356.2981262207031,488.5499877929688,496.25,483.5249938964844,495.0,9667316,INFY.NS,-0.020892866742876604,-0.02089261874924886,-0.008593248150906452,0.01965150236934754,,,,,494.33842750831883,,-0.027141727744644628,0.026046477170127487,-0.013030327690972107,,0.3806402994609357,0.3393650103646446,0.04127528909629108
2015-01-07,358.0028076171875,490.8875122070313,493.6875,487.5,491.25,7249916,INFY.NS,0.004784616666602126,0.0047844242532681935,-0.020892866742876604,-0.008593248150906452,0.01965150236934754,495.0625,,,494.00976890819624,,-0.2500590649979788,0.012604720727526733,-0.0007378886370863983,,0.05699070689468044,0.2828901496706518,-0.22589944277597135
2015-01-08,359.80780029296875,493.3624877929688,499.25,487.5,496.3999938964844,13564920,INFY.NS,0.005041838556474998,0.005041839441972451,0.004784616666602126,-0.020892866742876604,-0.008593248150906452,495.01499633789064,,,493.9481230876984,,0.8710451265918115,0.02381616010686789,-0.0061190695827224115,,0.00020357191738185065,0.2263528341199978,-0.22614926220261594
2015-01-09,378.22259521484375,518.6124877929688,527.25,478.2625122070313,495.0249938964844,44863328,INFY.NS,0.0511794078892267,0.05117953225828065,0.005041838556474998,0.004784616666602126,-0.020892866742876604,498.07749633789064,,,496.297110202486,,2.3073050191228552,0.09445875089017255,0.047649096888664984,,1.9699549211867975,0.5750732515333578,1.3948816696534396
2015-01-12,385.7889709472656,528.9874877929688,529.7999877929688,518.75,523.0,12758888,INFY.NS,0.020005303081212622,0.020005086497076885,0.0511794078892267,0.005041838556474998,0.004784616666602126,504.0799926757812,,,499.4104794968177,,-0.7156054049311723,0.020888939810412704,0.011448351420590345,,4.31839310171199,1.3237372215690844,2.994655880142906
2015-01-13,380.857177734375,522.2249755859375,526.9500122070312,518.75,526.9500122070312,8801236,INFY.NS,-0.012783879322449843,-0.012783655273454597,0.020005303081212622,0.0511794078892267,0.005041838556474998,510.814990234375,,,501.58328864816247,,-0.3101878470913766,0.01570206824717799,-0.008966764420981453,,5.56966542490494,2.1729228622362555,3.3967425626686847
2015-01-14,388.10455322265625,532.1624755859375,533.25,523.1500244140625,524.625,9921260,INFY.NS,0.019029154989858688,0.019029116193619133,-0.012783879322449843,0.020005303081212622,0.0511794078892267,519.0699829101562,,,504.4955921660458,,0.12725758063981019,0.01897912019222498,0.01436735875327615,,7.279270060740885,3.1941923019371816,4.085077758803703
2015-01-15,389.1256408691406,533.5625,538.2000122070312,528.0625,533.7999877929688,8342452,INFY.NS,0.0026308213718395645,0.002630960234827784,0.019029154989858688,-0.012783879322449843,0.020005303081212622,527.1099853515625,,,507.2638691026129,,-0.1591338196962886,0.018999671466850183,-0.0004449003342069357,,8.647432106910912,4.284840262931928,4.362591843978985
2015-01-16,386.217529296875,529.5750122070312,540.0,528.0,537.0,6690960,INFY.NS,-0.00747332841601267,-0.007473451417311261,0.0026308213718395645,0.019029154989858688,-0.012783879322449843,529.302490234375,,,509.38873987446226,,-0.1979624215997886,0.022659679409701337,-0.013826792910556331,,9.302717508808428,5.288415712107228,4.0143017967012
